,time,Global_Temp
426,1915-07-15,-0.04720526
427,1915-08-15,-0.1796628
428,1915-09-15,-0.1172682
429,1915-10-15,-0.17868803
430,1915-11-15,-0.086070366
431,1915-12-15,-0.29867917
432,1916-01-15,-0.07842244
433,1916-02-15,-0.0176338
434,1916-03-15,-0.170693
435,1916-04-15,-0.19929786
436,1916-05-15,-0.24331142
437,1916-06-15,-0.3160456
438,1916-07-15,-0.23345011
439,1916-08-15,-0.13075179
440,1916-09-15,-0.2268519
441,1916-10-15,-0.10726029
442,1916-11-15,-0.27426142
443,1916-12-15,-0.8345388
444,1917-01-15,-0.36625665
445,1917-02-15,-0.40250275
446,1917-03-15,-0.45373145
447,1917-04-15,-0.3967429
448,1917-05-15,-0.3530538
449,1917-06-15,-0.25084162
450,1917-07-15,-0.09159251
451,1917-08-15,-0.11819144
452,1917-09-15,-0.15551053
453,1917-10-15,-0.33653402
454,1917-11-15,-0.24973075
455,1917-12-15,-0.6882928
456,1918-01-15,-0.51473343
457,1918-02-15,-0.25415322
458,1918-03-15,-0.12720689
459,1918-04-15,-0.2929834
460,1918-05-15,-0.33500177
461,1918-06-15,-0.24568363
462,1918-07-15,-0.1950821
463,1918-08-15,-0.24178189
464,1918-09-15,-0.05307086
465,1918-10-15,0.023984116
466,1918-11-15,-0.08772654
467,1918-12-15,-0.28892782
468,1919-01-15,-0.215415
469,1919-02-15,-0.357949
470,1919-03-15,-0.27017567
471,1919-04-15,-0.14289741
472,1919-05-15,-0.13615213
473,1919-06-15,-0.23313965
474,1919-07-15,-0.14759636
475,1919-08-15,-0.10004525
476,1919-09-15,-0.06705931
477,1919-10-15,-0.0025291461
478,1919-11-15,-0.32747114
479,1919-12-15,-0.27334118
480,1920-01-15,-0.16314173
481,1920-02-15,-0.028849253
482,1920-03-15,0.088687085
483,1920-04-15,-0.0613435
484,1920-05-15,-0.10863197
485,1920-06-15,-0.1814302
486,1920-07-15,-0.16592112
487,1920-08-15,-0.119043306
488,1920-09-15,-0.14411944
489,1920-10-15,-0.24149631
490,1920-11-15,-0.16309129
491,1920-12-15,-0.38834915
492,1921-01-15,0.022761924
493,1921-02-15,-0.054736756
494,1921-03-15,-0.11588516
495,1921-04-15,-0.1267236
496,1921-05-15,-0.19102778
497,1921-06-15,-0.055067495
498,1921-07-15,-0.031400383
499,1921-08-15,-0.17723325
500,1921-09-15,-0.10343424
501,1921-10-15,0.081894174
502,1921-11-15,0.06385712
503,1921-12-15,-0.1362432
504,1922-01-15,-0.15455571
505,1922-02-15,-0.49288377
506,1922-03-15,-0.055157233
507,1922-04-15,-0.12167102
